date,setup,side,entry_px,stop,tp1,tp2,sl_dist,pm_final,regime,voice_agree,exit_px,exit_reason,pnl_r,pnl_dollars,mfe_r,mae_r
2019-11-06,ORB,short,8177.75,8220.43,8180.84,8170.46,42.68,46.2,RISK-ON,10,8177.75,tp1_then_be,0.500,42.68,0.01,-0.28
2019-11-07,ORB,long,8277.00,8232.41,8286.15,8300.34,44.59,36.6,RISK-ON,7,8277.00,tp1_then_be,0.500,44.59,0.27,-0.35
2019-11-14,ORB,short,8223.00,8259.34,8232.31,8225.39,36.34,32.8,NEUTRAL,10,8223.00,tp1_then_be,0.500,36.34,0.08,-0.62
2019-11-21,ORB,short,8257.50,8287.91,8256.11,8247.98,30.41,39.2,RISK-ON,8,8257.50,tp1_then_be,0.500,30.41,0.12,-0.18
2019-12-03,ORB,short,8175.50,8238.44,8178.08,8162.59,62.94,32.9,NEUTRAL,8,8175.50,tp1_then_be,0.500,62.94,0.00,-0.17
2019-12-11,ORB,long,8404.00,8360.33,8408.47,8420.84,43.67,35.3,RISK-ON,6,8407.25,session_end,0.500,43.67,0.60,0.00
2019-12-18,ORB,long,8634.75,8581.10,8640.06,8654.76,53.65,37.5,RISK-ON,7,8634.75,tp1_then_be,0.500,53.65,0.12,-0.59
2019-12-26,ORB,long,8758.00,8738.38,8760.31,8766.10,19.62,36.1,RISK-ON,9,8758.00,tp1_then_be,0.500,19.62,1.02,-0.13
2020-01-08,ORB,long,8915.25,8845.67,8911.60,8928.90,69.58,44.4,RISK-ON,7,8928.90,tp2_partial,0.598,83.23,0.24,0.00
2020-01-10,ORB,short,8994.50,9043.63,8994.37,8981.48,49.13,46.5,RISK-ON,10,8994.50,tp1_then_be,0.500,49.13,0.11,-0.15
2020-01-15,ORB,long,9083.50,9049.39,9086.93,9096.71,34.11,39.3,RISK-ON,8,9083.50,tp1_then_be,0.500,34.11,0.23,-0.17
2020-02-03,ORB,long,9114.75,9033.96,9130.20,9155.89,80.79,34.3,RISK-ON,7,9127.00,timeout,0.500,80.79,0.58,-0.03
2020-02-11,ORB,short,9537.75,9601.89,9524.95,9504.54,64.14,36.6,RISK-ON,8,9537.75,tp1_then_be,0.500,64.14,0.21,-0.21
2020-02-13,ORB,long,9608.00,9536.07,9608.57,9627.43,71.93,38.7,RISK-ON,8,9608.00,tp1_then_be,0.500,71.93,0.02,-0.75
2020-02-21,ORB,short,9483.25,9608.12,9517.62,9493.92,124.87,35.8,NEUTRAL,9,9483.25,tp1_then_be,0.500,124.87,0.00,-0.21
2020-02-26,ORB,short,8840.00,9037.42,8838.52,8785.75,197.42,37.3,NEUTRAL,10,8840.00,tp1_then_be,0.500,197.42,0.06,-0.04
2020-03-04,ORB,long,8788.75,8688.10,8801.89,8831.65,100.65,30.1,RISK-ON,7,8737.75,timeout,0.000,0.00,0.10,-0.88
2020-11-12,ORB,short,11803.00,11962.05,11860.06,11833.41,159.05,34.9,RISK-ON,8,11803.00,tp1_then_be,0.500,159.05,0.06,-0.12
2020-11-18,ORB,long,12014.50,11935.64,12002.24,12019.71,78.86,34.9,RISK-ON,8,12019.71,tp2_partial,0.533,84.07,0.11,0.00
2020-11-19,ORB,long,11896.00,11838.87,11909.23,11927.66,57.13,31.6,RISK-ON,7,11896.00,tp1_then_be,0.500,57.13,0.53,-0.21
2020-12-31,ORB,short,12802.00,12860.12,12797.15,12780.80,58.12,35.8,RISK-ON,8,12802.00,tp1_then_be,0.500,58.12,0.14,-0.21
2021-01-04,ORB,short,12746.50,12927.41,12833.96,12809.74,180.91,34.2,RISK-ON,9,12746.50,tp1_then_be,0.500,180.91,0.04,-0.20
2021-01-06,ORB,long,12645.75,12547.16,12646.20,12671.89,98.59,36.0,RISK-ON,8,12645.75,tp1_then_be,0.500,98.59,0.16,-0.01
2021-01-12,ORB,short,12886.50,12951.46,12880.72,12862.56,64.96,31.6,RISK-ON,8,12862.56,tp2_partial,0.684,88.90,0.66,0.00
2021-01-13,ORB,long,12935.75,12855.10,12926.80,12945.31,80.65,34.4,RISK-ON,8,12935.75,tp1_then_be,0.500,80.65,0.00,-0.18
2021-01-15,ORB,short,12792.00,12933.34,12865.97,12848.75,141.34,46.2,RISK-ON,9,12792.00,tp1_then_be,0.500,141.34,0.00,-0.22
2021-01-19,ORB,short,12863.75,12933.51,12877.08,12862.54,69.76,34.6,RISK-ON,8,12863.75,tp1_then_be,0.500,69.76,0.00,-0.30
2021-01-25,ORB,short,13411.75,13558.30,13464.71,13440.49,146.55,45.7,RISK-ON,9,13411.75,tp1_then_be,0.500,146.55,0.08,-0.07
2021-01-29,ORB,short,12833.50,13137.87,12949.22,12899.57,304.37,47.2,RISK-ON,9,12833.50,tp1_then_be,0.500,304.37,0.00,-0.20
2021-02-08,ORB,short,13612.50,13676.95,13612.63,13595.93,64.45,44.0,RISK-ON,10,13595.93,tp2_partial,0.629,81.02,0.34,-0.00
2021-02-10,ORB,short,13556.00,13766.70,13690.45,13670.99,210.70,34.2,RISK-ON,9,13556.00,tp1_then_be,0.500,210.70,0.00,-0.37
2021-02-16,ORB,short,13719.25,13863.44,13783.88,13763.38,144.19,51.9,RISK-ON,9,13719.25,tp1_then_be,0.500,144.19,0.01,-0.17
2021-02-22,ORB,long,13427.25,13353.65,13442.45,13465.29,73.60,30.8,RISK-ON,6,13427.25,tp1_then_be,0.500,73.60,0.25,-0.24
2021-02-25,ORB,short,13078.75,13296.14,13143.72,13103.93,217.39,34.1,RISK-ON,7,13078.75,tp1_then_be,0.500,217.39,0.12,-0.05
2021-03-09,ORB,long,12658.00,12576.12,12671.90,12696.90,81.88,36.9,NEUTRAL,8,12658.00,tp1_then_be,0.500,81.88,0.24,-0.19
2021-11-09,ORB,short,16327.00,16394.22,16343.73,16330.67,67.22,39.6,RISK-ON,8,16330.67,tp2_partial,0.473,63.55,0.19,-0.03
2021-11-10,ORB,long,16137.75,16036.07,16145.49,16173.77,101.68,30.5,RISK-ON,7,16173.77,tp2_partial,0.677,137.70,0.42,-0.24
2021-11-15,ORB,short,16105.00,16256.81,16199.69,16184.99,151.81,32.9,RISK-ON,9,16105.00,tp1_then_be,0.500,151.81,0.06,-0.12
2021-11-19,ORB,long,16580.00,16513.43,16580.49,16597.96,66.57,39.5,RISK-ON,8,16580.00,tp1_then_be,0.500,66.57,0.12,-0.13
2021-11-22,ORB,short,16579.75,16714.95,16618.33,16592.98,135.20,35.1,RISK-ON,9,16579.75,tp1_then_be,0.500,135.20,0.03,-0.15
2021-11-23,ORB,long,16403.00,16278.78,16412.18,16447.38,124.22,31.7,NEUTRAL,8,16403.00,tp1_then_be,0.500,124.22,0.11,-0.05
2021-11-24,ORB,long,16235.00,16108.16,16233.57,16266.09,126.84,30.3,RISK-ON,7,16266.09,tp2_partial,0.623,157.94,0.27,0.00
2021-11-30,ORB,long,16389.50,16314.96,16387.76,16406.53,74.54,30.7,RISK-ON,8,16406.53,tp2_partial,0.614,91.56,0.38,0.00
2021-12-01,ORB,short,16243.00,16358.72,16248.11,16219.30,115.72,41.2,RISK-ON,10,16219.30,tp2_partial,0.602,139.42,0.26,-0.36
2021-12-02,ORB,long,15999.25,15780.63,16030.59,16096.85,218.62,34.8,RISK-ON,7,15780.63,stop,-1.000,-437.24,0.13,-1.04
2021-12-09,ORB,short,16215.75,16416.91,16313.33,16286.08,201.16,42.2,NEUTRAL,10,16215.75,tp1_then_be,0.500,201.16,0.05,-0.05
2021-12-15,ORB,short,15831.25,15932.81,15845.71,15823.39,101.56,35.7,RISK-ON,8,15831.25,tp1_then_be,0.500,101.56,0.04,-0.09
2021-12-22,ORB,long,16021.50,15930.25,16033.60,16060.76,91.25,34.6,RISK-ON,8,16021.50,tp1_then_be,0.500,91.25,0.25,-0.27
2021-12-28,ORB,short,16468.25,16600.72,16500.01,16473.63,132.47,44.7,RISK-ON,10,16468.25,tp1_then_be,0.500,132.47,0.00,-0.16
2022-01-14,ORB,long,15539.00,15373.97,15570.87,15622.85,165.03,34.7,RISK-ON,7,15539.00,tp1_then_be,0.500,165.03,0.34,-0.01
2022-01-21,ORB,short,14660.25,14824.21,14624.79,14572.37,163.96,34.5,RISK-ON,8,14660.25,tp1_then_be,0.500,163.96,0.34,-0.11
2022-01-27,ORB,long,14367.25,14228.80,14384.46,14425.11,138.45,36.4,RISK-ON,8,14367.25,tp1_then_be,0.500,138.45,0.20,-0.16
2022-01-28,ORB,long,14234.25,13884.87,14155.76,14226.69,349.38,34.3,RISK-ON,7,14234.25,tp1_then_be,0.500,349.38,0.00,-0.08
2022-02-07,ORB,long,14804.00,14667.24,14809.38,14846.74,136.76,39.2,RISK-ON,8,14667.24,stop,-1.000,-273.51,0.02,-1.02
2022-02-11,ORB,short,14623.50,14776.09,14625.31,14585.95,152.59,32.2,NEUTRAL,8,14623.50,tp1_then_be,0.500,152.59,0.20,-0.05
2022-02-23,ORB,short,13844.75,14034.87,13923.99,13895.36,190.12,39.2,RISK-ON,7,13844.75,tp1_then_be,0.500,190.12,0.00,-0.17
2022-02-28,ORB,long,14219.50,14022.84,14135.89,14164.70,196.66,38.0,RISK-ON,8,14164.70,tp2_partial,0.361,141.85,0.05,-0.05
2022-03-01,ORB,short,14085.00,14259.65,14126.50,14092.16,174.65,45.2,RISK-ON,10,14085.00,tp1_then_be,0.500,174.65,0.10,-0.02
2022-03-08,ORB,long,13535.50,13206.89,13413.14,13466.42,328.61,44.2,RISK-ON,8,13535.50,tp1_then_be,0.500,328.61,0.05,-0.14
2022-03-11,ORB,short,13597.25,13735.51,13573.48,13530.83,138.26,34.2,RISK-ON,7,13597.25,tp1_then_be,0.500,138.26,0.18,0.00
2022-11-29,ORB,short,11509.75,11857.33,11509.37,11420.79,347.58,34.5,RISK-ON,7,11509.75,tp1_then_be,0.500,347.58,0.03,-0.36
2022-12-08,ORB,long,11762.75,11475.83,11736.34,11800.70,286.92,30.8,NEUTRAL,7,11762.75,tp1_then_be,0.500,286.92,0.00,-0.48
2022-12-15,ORB,short,11495.00,11857.13,11430.39,11320.53,362.13,31.8,RISK-ON,7,11495.00,tp1_then_be,0.500,362.13,0.21,-0.53
2022-12-21,ORB,long,11389.25,11182.51,11391.52,11444.98,206.74,33.2,NEUTRAL,8,11389.25,tp1_then_be,0.500,206.74,0.08,-0.81
2023-01-23,ORB,long,11904.75,11669.19,11913.14,11974.39,235.56,37.5,RISK-ON,8,11974.39,tp2_partial,0.648,305.19,1.02,0.00
2023-01-27,ORB,long,12346.75,12017.12,12281.20,12346.34,329.63,31.5,RISK-ON,6,12346.75,tp1_then_be,0.500,329.63,0.00,-0.44
2023-02-01,ORB,long,12290.75,12085.05,12321.87,12381.82,205.70,40.2,RISK-ON,8,12085.05,stop,-1.000,-411.41,0.07,-1.05
2023-03-01,ORB,short,11944.75,12334.47,11921.04,11815.51,389.72,34.4,RISK-ON,7,12018.00,timeout,0.000,0.00,0.05,-0.82
2023-03-03,ORB,long,12431.00,12074.54,12323.42,12381.21,356.46,30.6,NEUTRAL,7,12431.00,tp1_then_be,0.500,356.46,0.00,-0.75
2023-03-09,ORB,long,12472.50,12211.22,12482.47,12548.91,261.28,35.7,RISK-ON,7,12472.50,tp1_then_be,0.500,261.28,0.52,-0.72
2023-11-14,ORB,long,16258.75,15761.50,16106.17,16189.38,497.25,44.4,RISK-ON,8,16258.75,tp1_then_be,0.500,497.25,0.02,-0.83
2023-11-15,ORB,short,15919.00,16410.15,15818.88,15672.43,491.15,34.5,RISK-ON,6,16345.00,timeout,0.000,0.00,0.02,-0.90
2023-11-17,ORB,long,16283.00,15794.64,16393.09,16545.85,488.36,35.2,RISK-ON,7,15854.25,timeout,0.000,0.00,0.00,-0.94
2023-11-22,ORB,short,16059.00,16586.54,15939.08,15773.17,527.54,46.0,RISK-ON,7,16063.00,timeout,0.000,0.00,0.10,-0.84
2023-11-28,ORB,short,15960.00,16235.64,15920.37,15842.60,275.64,32.0,RISK-ON,6,16235.64,stop,-1.000,-551.27,0.00,-1.03
2023-11-29,ORB,long,16528.25,16120.77,16472.07,16557.71,407.48,39.6,RISK-ON,8,16120.77,stop,-1.000,-814.97,0.00,-1.02
2023-12-07,ORB,short,15911.00,16416.25,15821.73,15670.96,505.25,33.0,RISK-ON,6,16416.25,stop,-1.000,-1010.49,0.01,-1.00
2024-01-02,ORB,short,16737.25,17100.66,16685.99,16581.67,363.41,50.5,RISK-ON,8,16766.75,timeout,0.000,0.00,0.13,-0.94
2024-01-03,ORB,short,16548.00,16980.06,16500.62,16377.71,432.06,34.2,RISK-ON,7,16551.75,timeout,0.000,0.00,0.00,-0.93
2024-01-17,ORB,long,17128.25,16704.32,17136.59,17244.20,423.93,45.6,RISK-ON,8,16704.32,stop,-1.000,-847.87,0.00,-1.00
2024-02-13,ORB,short,17581.25,18108.31,17502.01,17347.78,527.06,43.8,RISK-ON,8,17579.00,session_end,0.000,0.00,0.02,-0.45
2024-02-20,ORB,short,17562.50,17981.64,17465.21,17334.76,419.14,40.5,RISK-ON,8,17981.64,stop,-1.000,-838.27,0.00,-1.08
2024-03-06,ORB,short,18045.75,18622.01,17935.46,17761.76,576.26,39.6,RISK-ON,7,18272.25,session_end,0.000,0.00,0.08,-0.85
2024-11-07,ORB,long,21425.00,20987.47,21413.50,21519.73,437.53,35.7,RISK-ON,7,21425.00,tp1_then_be,0.500,437.53,0.03,-0.55
2024-11-11,ORB,short,21131.00,21562.57,21118.46,21006.79,431.57,38.2,RISK-ON,9,21131.00,tp1_then_be,0.500,431.57,0.03,-0.57
2024-11-12,ORB,short,21066.00,21529.54,21097.77,20990.94,463.54,37.8,RISK-ON,9,21066.00,tp1_then_be,0.500,463.54,0.00,-0.60
2024-11-15,ORB,short,20643.50,21241.86,20547.46,20369.97,598.36,41.7,RISK-ON,8,20643.50,tp1_then_be,0.500,598.36,0.17,-0.45
2024-11-21,ORB,long,21197.25,20579.26,21301.55,21484.15,617.99,30.6,RISK-ON,7,20579.26,stop,-1.000,-1235.98,0.00,-1.00
2024-12-04,ORB,long,21980.00,21347.20,22037.02,22211.32,632.80,35.6,RISK-ON,7,21980.00,tp1_then_be,0.500,632.80,0.33,-0.85
2024-12-06,ORB,long,21861.50,21438.36,21913.98,22030.67,423.14,44.5,RISK-ON,7,22030.67,tp2_partial,0.700,592.31,0.60,-0.64
2025-01-06,ORB,long,22070.00,21697.49,22126.18,22233.27,372.51,35.4,RISK-ON,7,22070.00,tp1_then_be,0.500,372.51,0.16,-0.75
2025-01-30,ORB,long,21945.00,21558.47,21982.35,22087.10,386.53,38.4,RISK-ON,7,21558.47,stop,-1.000,-773.06,0.05,-1.00
2025-02-06,ORB,long,22027.75,21709.96,22079.26,22171.81,317.79,43.9,RISK-ON,8,22027.75,tp1_then_be,0.500,317.79,0.78,-0.70
2025-02-20,ORB,short,22139.25,22681.61,22044.07,21881.97,542.36,39.0,RISK-ON,7,22139.25,tp1_then_be,0.500,542.36,0.26,-0.74
2025-02-24,ORB,short,21612.25,22189.31,21558.52,21397.63,577.06,33.4,RISK-ON,8,21612.25,tp1_then_be,0.500,577.06,0.21,-0.35
2025-11-05,ORB,long,25870.25,25429.53,25928.18,26047.98,440.72,39.5,NEUTRAL,6,25870.25,tp1_then_be,0.500,440.72,0.15,-0.56
2025-11-07,ORB,short,24770.25,25576.22,24750.22,24537.43,805.97,30.1,RISK-ON,7,24770.25,tp1_then_be,0.500,805.97,0.06,-0.29
2025-11-17,ORB,long,25482.00,24920.30,25593.34,25764.87,561.70,34.5,RISK-ON,7,25482.00,tp1_then_be,0.500,561.70,0.30,-0.93
2025-12-05,ORB,long,26240.75,25606.84,26392.54,26591.66,633.91,31.6,RISK-ON,7,25670.00,timeout,0.000,0.00,0.00,-0.91
2025-12-31,ORB,short,25537.00,25925.89,25529.46,25428.60,388.89,35.6,RISK-ON,7,25925.89,stop,-1.000,-777.78,0.01,-1.15
2026-01-21,ORB,long,25900.00,25081.20,25814.86,26001.35,818.80,44.8,RISK-ON,8,25900.00,tp1_then_be,0.500,818.80,0.09,-0.52
2026-01-27,ORB,long,26439.00,25891.14,26566.41,26739.93,547.86,31.8,RISK-ON,7,26439.00,tp1_then_be,0.500,547.86,0.24,-0.82
2026-01-28,ORB,short,26152.25,26713.39,26088.68,25926.41,561.14,36.5,NEUTRAL,9,26160.75,session_end,0.000,0.00,0.07,-0.46
2026-02-02,ORB,long,25964.50,25506.36,26074.17,26219.41,458.14,37.8,RISK-ON,8,25964.50,tp1_then_be,0.500,458.14,0.31,-0.55
2026-02-11,ORB,short,25284.00,25734.15,25253.07,25134.22,450.15,34.7,RISK-ON,7,25284.00,tp1_then_be,0.500,450.15,0.29,-0.95
2026-02-12,ORB,short,25251.00,25640.55,25223.17,25120.67,389.55,35.4,RISK-ON,6,25640.55,stop,-1.000,-779.10,0.00,-1.13
2026-02-17,ORB,short,24544.00,25295.24,24430.51,24207.60,751.24,30.1,RISK-ON,6,24737.25,timeout,0.000,0.00,0.12,-0.91
2026-02-18,ORB,long,25106.00,24727.65,25177.17,25291.87,378.35,31.9,RISK-ON,7,25291.87,tp2_partial,0.746,564.22,0.78,-0.55
2026-02-19,ORB,long,25300.00,24725.07,25160.64,25268.93,574.93,37.9,RISK-ON,8,25300.00,tp1_then_be,0.500,574.93,0.12,-0.76
2026-02-20,ORB,long,25425.00,24688.51,25452.25,25645.93,736.49,44.1,RISK-ON,8,25425.00,tp1_then_be,0.500,736.49,0.16,-0.76
2026-02-25,ORB,long,25763.00,25147.81,25833.55,26003.44,615.19,38.8,RISK-ON,7,25314.25,timeout,0.000,0.00,0.03,-0.80
2026-02-26,ORB,short,25216.00,25599.51,25134.11,25018.80,383.51,38.8,RISK-ON,7,25599.51,stop,-1.000,-767.02,0.00,-1.09